OBJECTID,LENGTH,LINK,Midx,Midy,Cseason,Oseason,Cstartdate,Cenddate,Ostartdate,Oenddate,DFWOpen,BEACHID,BEACHCOMMENT,CLASSIFICATIONDATE,CLASSIFICATION,REASONDESCRIPTION,ORGANIZATION,BIDN,BEACHNAME,WATERBODYNAME,COUNTYNAME,GROWINGAREANAME,ALLSPECIEDESCRIPTIONS,FINALSTATUS,UPDATED,SHAPE_Length
122,2405.452,,-122.8674966,48.44278586,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,742,None,2013/02/08 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,None,220070,DNR-306,South Lopez,San Juan,Mackaye Harbor,None,Open,2023/04/12 03:01:35+00,1262.11170630001
123,4714.654,,-122.88532271,48.43470382,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,748,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220090,DNR-307,South Lopez,San Juan,Mackaye Harbor,None,Unclassified,2023/04/12 03:01:35+00,2303.52253289846
124,10906.102,,-122.8081796,48.4422826,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,763,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220180,DNR-311,South Lopez,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,5768.20062965168
125,3554.961,,-122.87727089,48.42919276,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,741,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220060,AGATE BEACH CP,South Lopez,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,1683.68499507246
126,1455.369,,-122.89009331,48.42751346,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,747,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220080,DNR-307C,South Lopez,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,693.028807858797
127,10676.655,,-122.82441849,48.4271334,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,756,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220170,DNR-309,South Lopez,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,4945.23522652248
128,7361.564,,-122.85636506,48.42267029,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,768,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220190,DNR-308,South Lopez,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,3340.33081275013
129,17195.967,http://parks.state.wa.us/411/Deception-Pass-State-Park,-122.65201474,48.40232287,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1402,None,2014/06/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,240300,DECEPTION PASS SP,Deception Pass,Skagit,None,None,Unclassified,2023/04/12 03:01:35+00,9180.44982718157
130,1707.799,http://parks.state.wa.us/411/Deception-Pass-State-Park,-122.65201474,48.40232287,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1255,None,1998/11/09 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,240300,DECEPTION PASS SP,Deception Pass,Island,None,None,Unclassified,2023/04/12 03:01:35+00,812.148427852591
131,2888.119,http://parks.state.wa.us/411/Deception-Pass-State-Park,-122.65201474,48.40232287,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1255,None,1998/11/09 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,240300,DECEPTION PASS SP,Deception Pass,Island,None,None,Unclassified,2023/04/12 03:01:35+00,1331.14585554206
132,3305.789,http://parks.state.wa.us/411/Deception-Pass-State-Park,-122.65201474,48.40232287,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1402,None,2014/06/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,240300,DECEPTION PASS SP,Deception Pass,Skagit,None,None,Unclassified,2023/04/12 03:01:35+00,1511.11746697896
133,13443.921,http://parks.state.wa.us/411/Deception-Pass-State-Park,-122.65201474,48.40232287,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1255,None,1998/11/09 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,240300,DECEPTION PASS SP,Deception Pass,Island,None,None,Unclassified,2023/04/12 03:01:35+00,6082.24826257956
134,9603.633,http://parks.state.wa.us/411/Deception-Pass-State-Park,-122.65201474,48.40232287,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1255,None,1998/11/09 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,240300,DECEPTION PASS SP,Deception Pass,Island,None,None,Unclassified,2023/04/12 03:01:35+00,7902.24170066866
135,3693.963,,-122.59093463,48.36136505,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,90,None,2014/06/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,240220,DNR-145,Skagit Bay,Island,None,None,Unclassified,2023/04/12 03:01:35+00,1616.54844431173
136,17076.5,,-122.45598499,48.3520038,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1045,None,2014/06/24 00:00:00+00,Closed,Neither water quality nor shoreline survey information meets Washington State standards for recreational shellfish harvesting.,DEPARTMENT OF FISH AND WILDLIFE,240100,SKAGIT WILDLIFE AREA,Skagit Bay,Snohomish,None,None,Closed,2023/04/12 03:01:35+00,3267.75080501052
137,7105.062,,-122.55491652,48.34343703,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,92,None,2014/06/24 00:00:00+00,Closed,Water quality for this beach does not meet Washington State standards for recreational shellfish harvesting.,Department of Natural Resources,240230,DNR-144 (Sleeper),Skagit Bay,Island,None,None,Closed,2023/04/12 03:01:35+00,4324.66381978142
138,20678.141,,-122.37944691,48.31687853,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1049,None,2012/06/28 00:00:00+00,Closed,Neither water quality nor shoreline survey information meets Washington State standards for recreational shellfish harvesting.,DEPARTMENT OF FISH AND WILDLIFE,240100,SKAGIT WILDLIFE AREA,Skagit Bay,Skagit,None,None,Closed,2023/04/12 03:01:35+00,14477.1122738205
139,4962.681,,-122.50513842,48.30328512,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,88,None,2014/06/24 08:48:59+00,Closed,Water quality for this beach does not meet Washington State standards for recreational shellfish harvesting.,Department of Natural Resources,240210,DNR-142,Skagit Bay,Island,None,None,Closed,2023/04/12 03:01:35+00,2337.77116634563
140,2345.736,,-124.37078787,48.2853337,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,42,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,230140,DNR-428,West Straits,Clallam,None,None,Unclassified,2023/04/12 03:01:35+00,1212.91676444235
141,2374.089,https://www.islandcountywa.gov/PublicWorks/Parks/Pages/mariners-cove.aspx,-122.51639387,48.29089145,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1331,None,2015/06/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,240490,S STRAWBERRY PT,Saratoga Passage,Island,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,1150.22448526033
142,2935.063,https://oakharbor.gov/324/Windjammer-Park,-122.65434897,48.2844281,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,118,None,2001/10/18 00:00:00+00,Closed,This beach is within the closure area for a sewage treatment plant outfall and is unsafe for recreational shellfish harvesting.,City of Oak Harbor,240530,OAK HARBOR BEACH PK,Saratoga Passage,Island,Saratoga Passage,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,1495.56566176396
143,1950.618,,-122.66022013,48.28087252,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,117,None,2010/10/21 00:00:00+00,Closed,This beach is within the closure area for a sewage treatment plant outfall and is unsafe for recreational shellfish harvesting.,City of Oak Harbor,240515,OAK HARBOR CITY PARK,Saratoga Passage,Island,Saratoga Passage,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,799.539695126438
144,17297.053,,-124.33262642,48.27565378,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,41,Shellfish harvesting should be avoided for 0.4 miles west of the jetty at the entrance to Clallam Bay. This area is in the outfall closure zone for the Sekiu wastewater treatment plant.,2020/07/29 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,230130,DNR-427,West Straits,Clallam,West Straits,None,Unclassified,2023/04/12 03:01:35+00,7817.63943300204
145,10462.546,,-122.62247518,48.27962795,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Contact WINAS for access & seasons",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1404,ATTENTION:  U.S. Navy access restrictions are in place.  Call 360-257-4024 for information from the Navy on access to this beach.,2014/06/24 00:00:00+00,Closed,This beach is within the closure area for a sewage treatment plant outfall and is unsafe for recreational shellfish harvesting.,US Navy,240520,WINAS-MAYLOR PT-EAST,Saratoga Passage,Island,Saratoga Passage,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,3118.52414021355
146,14249.547,,-122.63557903,48.27997201,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Contact WINAS for access & seasons",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1403,ATTENTION:  U.S. Navy access restrictions are in place.  Call 360-257-4024 for information from the Navy on access to this beach.,2014/06/24 00:00:00+00,Closed,This beach is within the closure area for a sewage treatment plant outfall and is unsafe for recreational shellfish harvesting.,US Navy,240469,WINAS-MAYLOR PT-WEST,Saratoga Passage,Island,Saratoga Passage,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,3558.03626630397
147,1644.189,,-122.40151596,48.2449579,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1098,None,2014/06/24 00:00:00+00,Closed,Water quality for this beach does not meet Washington State standards for recreational shellfish harvesting.,None,240080,WEST PASS ACCESS,Skagit Bay,Snohomish,None,None,Closed,2023/04/12 03:01:35+00,1440.33608578596
148,25929.475,,-124.16749525,48.23672821,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,40,Shellfish harvesting should be avoided around Slip Point and for approximately one mile east of the point. This area is in the outfall closure zone for the Clallam Bay wastewater treatment plant.,2020/07/29 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,230120,DNR-426,West Straits,Clallam,West Straits,None,Unclassified,2023/04/12 03:01:35+00,17157.0203783112
149,2119.612,https://www.islandcountywa.gov/PublicWorks/Parks/Pages/monroe-landing.aspx,-122.67611957,48.23934682,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1264,None,1999/02/04 00:00:00+00,Closed,This beach is within the closure area for a sewage treatment plant outfall and is unsafe for recreational shellfish harvesting.,ISLAND COUNTY,240130,MONROE LANDING,Penn Cove,Island,Penn Cove,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,965.17547200786
150,2067.996,,-122.71899179,48.23602525,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1263,None,1999/02/04 00:00:00+00,Conditionally Open,This beach is in an area that is approved for shellfish harvesting as long as the nearby municipal sewage treatment plant is functioning properly.,Department of Natural Resources,240120,SAN DE FUCA,Penn Cove,Island,Penn Cove,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,857.486535909951
151,635.964,,-122.53480379,48.23380851,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1313,None,1998/04/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,240040,S ROCKY PT,Saratoga Passage,Island,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,315.311486776011
152,13965.902,https://www.islandcountywa.gov/PublicWorks/Parks/Pages/northwhidbeyparks.aspx,-122.75859319,48.24887542,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,49,None,2015/06/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,220220,N PT PARTRIDGE,West Whidbey,Island,Point Partridge,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,6353.74041576568
153,1804.153,,-122.62588001,48.22040658,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1325,None,1998/04/15 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,240110,SNATELUM PT,Saratoga Passage,Island,Saratoga Passage,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,875.44972483321
154,7534.228,,-122.73054187,48.224164,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open July 15 through September 30, 2023 only.",,2023/07/15 00:00:00+00,2023/09/30 00:00:00+00,2023/07/15 00:00:00+00,2023/09/30 00:00:00+00,0,1266,None,1999/02/04 00:00:00+00,Conditionally Open,This beach is in an area that is approved for shellfish harvesting as long as the nearby municipal sewage treatment plant is functioning properly.,DEPARTMENT OF FISH AND WILDLIFE,240150,WEST PENN COVE,Penn Cove,Island,Penn Cove,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,2473.64437667382
155,6947.959,,-122.70613187,48.21598992,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1265,None,1999/02/04 00:00:00+00,Conditionally Open,This beach is in an area that is approved for shellfish harvesting as long as the nearby municipal sewage treatment plant is functioning properly.,DEPARTMENT OF FISH AND WILDLIFE,240140,PENN COVE/MADRONA,Penn Cove,Island,Penn Cove,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,3353.07790923907
156,1649.496,https://www.clallamcountywa.gov/Facilities/Facility/Details/Pillar-Point-County-Park-15,-124.09869439,48.19828525,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1367,None,2021/04/23 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Clallam County Parks Department,230115,PILLAR POINT COUNTY PARK,East Straits,Clallam,East Straits,None,Unclassified,2023/04/12 03:01:35+00,1531.34280599432
157,16852.221,,-122.75818569,48.21377217,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,61,None,1998/05/27 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,250640,FORT EBEY (DNR-140),West Whidbey,Island,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,4232.66242636445
158,4544.699,,-124.0780292,48.19158966,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1183,None,1999/02/02 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,CLALLAM COUNTY HEALTH DEPARTMENT,230110,DNR-425,East Straits,Clallam,None,None,Unclassified,2023/04/12 03:01:35+00,2774.77925868395
159,1632.374,,-123.949965,48.16515075,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,38,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,230090,DNR-423A (WEST TWIN RIVER),East Straits,Clallam,None,None,Unclassified,2023/04/12 03:01:35+00,842.834310397222
160,14589,,-123.98940265,48.1677514,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,37,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,230080,DNR-423,East Straits,Clallam,East Straits,None,Unclassified,2023/04/12 03:01:35+00,9206.24687014057
161,7520.687,http://parks.state.wa.us/505/Fort-Casey,-122.65346233,48.16286921,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,63,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,250655,S FT CASEY,Admiralty Bay,Island,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,3721.50359273929
162,8198.078,,-123.76086562,48.1601469,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,34,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,230050,DNR-420,East Straits,Clallam,None,None,Unclassified,2023/04/12 03:01:35+00,3851.41735380907
163,29772.004,,-123.8886295,48.16072643,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,36,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,230070,DNR-422,East Straits,Clallam,None,None,Unclassified,2023/04/12 03:01:35+00,13587.3687842814
164,8660.182,,-122.58113733,48.1665087,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1316,None,1999/02/04 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,DEPARTMENT OF FISH AND WILDLIFE,240430,SARATOGA PASS,Saratoga Passage,Island,Saratoga Passage,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,3860.48273994053
165,20172.951,https://www.clallamcountywa.gov/Facilities/Facility/Details/Salt-Creek-Recreation-Area-26,-123.68310545,48.16278459,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,33,"The Tongue Point portion of this beach is a designated Marine Santuary, with no harvesting allowed.  See the WDFW link for more information.",2014/06/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,230040,SALT CREEK REC AREA (DNR-419),East Straits,Clallam,None,None,Unclassified,2023/04/12 03:01:35+00,9128.47260129752
166,12202.581,http://parks.state.wa.us/505/Fort-Casey,-122.68405989,48.16845449,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,64,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,250660,FORT CASEY SP,West Whidbey,Island,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,7504.90417146013
167,1986.777,https://www.clallamcountywa.gov/Facilities/Facility/Details/Cline-Spit-7,-123.1523091,48.15188419,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1178,None,2015/10/28 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Clallam County Parks Department,250016,CLINE SPIT,Dungeness Bay,Clallam,Dungeness Bay,None,Open,2023/04/12 03:01:35+00,170.195431871578
168,4308.737,,-122.61064538,48.15355178,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,62,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,250650,DNR-124A,Admiralty Bay,Island,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,1842.21809274313
169,3753.603,,-123.16443625,48.14951381,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1176,None,2015/10/28 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,250013,OLD TOWN,Dungeness Bay,Clallam,Dungeness Bay,None,Open,2023/04/12 03:01:35+00,2068.49652915816
